,Class,x1,y1,x2,y2,Frame
7,tie,881,507,961,714,frame2651.jpg
12,laptop,264,383,464,535,frame2651.jpg
14,laptop,726,372,857,485,frame2651.jpg
18,laptop,550,378,714,466,frame2651.jpg
19,laptop,586,425,810,700,frame2651.jpg
0,keyboard,264,458,398,530,frame2652.jpg
1,keyboard,638,565,722,672,frame2652.jpg
3,mouse,370,535,417,568,frame2652.jpg
4,cell phone,370,535,417,568,frame2652.jpg
5,tie,882,508,962,714,frame2652.jpg
7,cell phone,368,332,407,360,frame2652.jpg
11,laptop,263,383,464,536,frame2652.jpg
13,laptop,726,372,857,485,frame2652.jpg
17,laptop,550,378,714,466,frame2652.jpg
19,laptop,586,425,810,700,frame2652.jpg
0,keyboard,288,462,398,525,frame2653.jpg
1,keyboard,638,565,722,672,frame2653.jpg
3,cell phone,367,332,408,360,frame2653.jpg
4,mouse,370,534,417,568,frame2653.jpg
5,tie,883,507,962,715,frame2653.jpg
8,cell phone,370,534,417,568,frame2653.jpg
11,laptop,263,384,464,534,frame2653.jpg
13,laptop,726,372,857,486,frame2653.jpg
17,laptop,548,378,716,466,frame2653.jpg
18,laptop,586,424,810,700,frame2653.jpg
0,keyboard,264,458,398,530,frame2654.jpg
1,cell phone,192,274,236,334,frame2654.jpg
2,keyboard,638,565,722,672,frame2654.jpg
4,mouse,370,535,416,567,frame2654.jpg
6,cell phone,370,534,416,568,frame2654.jpg
8,cell phone,368,332,408,360,frame2654.jpg
9,tie,880,508,962,714,frame2654.jpg
13,laptop,264,383,464,535,frame2654.jpg
14,laptop,726,372,858,486,frame2654.jpg
19,laptop,550,378,716,466,frame2654.jpg
21,laptop,586,424,810,700,frame2654.jpg
0,keyboard,264,457,398,530,frame2655.jpg
1,cell phone,192,274,236,334,frame2655.jpg
2,keyboard,636,570,724,675,frame2655.jpg
5,cell phone,370,534,417,568,frame2655.jpg
7,cell phone,368,333,407,359,frame2655.jpg
9,tie,880,507,962,715,frame2655.jpg
11,laptop,264,383,464,535,frame2655.jpg
13,laptop,726,373,858,486,frame2655.jpg
18,laptop,549,379,716,466,frame2655.jpg
19,laptop,586,424,810,700,frame2655.jpg
0,cell phone,192,274,236,335,frame2656.jpg
1,keyboard,635,570,725,676,frame2656.jpg
6,mouse,370,535,417,567,frame2656.jpg
7,cell phone,370,534,417,568,frame2656.jpg
8,tie,882,506,962,714,frame2656.jpg
9,cell phone,368,333,407,361,frame2656.jpg
12,laptop,263,383,463,534,frame2656.jpg
14,laptop,726,373,858,486,frame2656.jpg
19,laptop,549,380,716,465,frame2656.jpg
20,laptop,586,424,810,700,frame2656.jpg
0,keyboard,264,457,398,530,frame2657.jpg
1,keyboard,637,565,722,672,frame2657.jpg
3,cell phone,370,534,417,568,frame2657.jpg
7,tie,882,507,963,715,frame2657.jpg
8,cell phone,370,334,407,360,frame2657.jpg
10,laptop,263,383,464,535,frame2657.jpg
12,laptop,726,373,858,486,frame2657.jpg
16,laptop,549,379,717,466,frame2657.jpg
17,laptop,586,423,810,700,frame2657.jpg
0,keyboard,264,457,398,530,frame2658.jpg
1,keyboard,635,570,725,676,frame2658.jpg
5,mouse,370,535,417,568,frame2658.jpg
7,cell phone,370,534,417,568,frame2658.jpg
9,cell phone,366,334,407,359,frame2658.jpg
11,tie,882,506,962,716,frame2658.jpg
13,laptop,262,382,464,535,frame2658.jpg
15,laptop,726,373,858,485,frame2658.jpg
19,laptop,549,378,717,466,frame2658.jpg
21,laptop,586,425,810,700,frame2658.jpg
0,keyboard,263,457,399,530,frame2659.jpg
1,keyboard,637,565,722,672,frame2659.jpg
5,cell phone,370,534,417,568,frame2659.jpg
7,cell phone,366,334,407,360,frame2659.jpg
8,tie,880,507,962,717,frame2659.jpg
10,laptop,262,383,464,535,frame2659.jpg
13,laptop,726,373,858,485,frame2659.jpg
16,laptop,549,378,716,466,frame2659.jpg
17,laptop,586,424,810,700,frame2659.jpg
0,keyboard,283,460,399,527,frame2660.jpg
1,keyboard,636,570,724,675,frame2660.jpg
4,mouse,370,536,417,568,frame2660.jpg
6,cell phone,370,534,417,568,frame2660.jpg
9,tie,881,507,962,716,frame2660.jpg
10,cell phone,365,334,407,358,frame2660.jpg
12,laptop,264,384,464,536,frame2660.jpg
15,laptop,726,373,858,486,frame2660.jpg
18,laptop,550,378,716,466,frame2660.jpg
20,laptop,586,425,810,700,frame2660.jpg
0,keyboard,263,457,399,530,frame2661.jpg
2,keyboard,637,565,722,672,frame2661.jpg
5,mouse,370,534,417,568,frame2661.jpg
6,cell phone,370,534,417,568,frame2661.jpg
9,tie,880,508,962,716,frame2661.jpg
10,cell phone,367,334,406,358,frame2661.jpg
12,laptop,262,384,464,534,frame2661.jpg
15,laptop,726,373,858,486,frame2661.jpg
18,laptop,549,378,715,466,frame2661.jpg
20,laptop,586,424,810,700,frame2661.jpg
0,keyboard,264,458,399,530,frame2662.jpg
1,cell phone,192,276,234,334,frame2662.jpg
3,keyboard,636,570,724,676,frame2662.jpg
6,mouse,370,535,416,567,frame2662.jpg
7,cell phone,370,535,417,567,frame2662.jpg
8,tie,884,508,958,716,frame2662.jpg
10,cell phone,366,334,406,360,frame2662.jpg
12,laptop,263,384,464,535,frame2662.jpg
14,laptop,726,373,858,486,frame2662.jpg
18,laptop,549,378,716,466,frame2662.jpg
19,laptop,586,424,810,700,frame2662.jpg
1,keyboard,264,458,399,530,frame2663.jpg
2,keyboard,638,565,722,672,frame2663.jpg
5,cell phone,370,331,408,354,frame2663.jpg
6,mouse,370,534,417,568,frame2663.jpg
7,cell phone,370,534,417,568,frame2663.jpg
9,tie,878,509,960,716,frame2663.jpg
12,laptop,264,383,464,535,frame2663.jpg
14,laptop,726,374,860,487,frame2663.jpg
18,laptop,549,378,716,466,frame2663.jpg
20,laptop,586,424,810,700,frame2663.jpg
0,cell phone,596,329,643,358,frame2664.jpg
1,keyboard,263,457,399,530,frame2664.jpg
2,cell phone,192,274,236,334,frame2664.jpg
3,keyboard,636,570,724,675,frame2664.jpg
7,cell phone,364,335,406,360,frame2664.jpg
9,cell phone,370,534,417,568,frame2664.jpg
10,tie,883,509,961,716,frame2664.jpg
13,laptop,262,383,464,534,frame2664.jpg
14,laptop,726,373,860,487,frame2664.jpg
19,laptop,549,378,716,466,frame2664.jpg
20,laptop,586,424,810,700,frame2664.jpg
0,keyboard,264,457,400,530,frame2665.jpg
2,keyboard,636,570,724,676,frame2665.jpg
4,mouse,370,535,416,567,frame2665.jpg
5,cell phone,370,534,417,568,frame2665.jpg
8,cell phone,363,335,408,360,frame2665.jpg
9,tie,883,510,961,716,frame2665.jpg
11,laptop,264,383,463,534,frame2665.jpg
13,laptop,726,374,860,487,frame2665.jpg
17,laptop,549,378,716,466,frame2665.jpg
18,laptop,586,424,810,700,frame2665.jpg
0,keyboard,264,457,399,530,frame2666.jpg
2,keyboard,636,570,724,674,frame2666.jpg
5,mouse,370,536,417,568,frame2666.jpg
6,cell phone,370,534,417,568,frame2666.jpg
8,tie,880,510,960,716,frame2666.jpg
9,cell phone,362,335,406,360,frame2666.jpg
12,laptop,264,383,463,534,frame2666.jpg
14,laptop,726,374,860,487,frame2666.jpg
18,laptop,549,378,716,466,frame2666.jpg
19,laptop,586,425,810,700,frame2666.jpg
0,keyboard,264,457,398,530,frame2667.jpg
2,keyboard,638,565,722,672,frame2667.jpg
5,cell phone,370,534,417,568,frame2667.jpg
8,tie,882,509,960,716,frame2667.jpg
9,cell phone,362,335,408,361,frame2667.jpg
11,laptop,263,382,463,534,frame2667.jpg
12,laptop,726,373,860,486,frame2667.jpg
17,laptop,549,378,716,466,frame2667.jpg
18,laptop,586,425,810,700,frame2667.jpg
1,keyboard,263,458,401,529,frame2668.jpg
2,keyboard,636,570,724,674,frame2668.jpg
4,mouse,370,535,417,567,frame2668.jpg
5,cell phone,370,534,417,568,frame2668.jpg
7,tie,882,508,960,716,frame2668.jpg
8,cell phone,362,336,404,360,frame2668.jpg
11,laptop,264,383,464,534,frame2668.jpg
14,laptop,726,374,858,486,frame2668.jpg
17,laptop,549,378,716,466,frame2668.jpg
18,laptop,586,425,810,700,frame2668.jpg
0,keyboard,262,458,400,529,frame2669.jpg
1,keyboard,636,570,724,676,frame2669.jpg
2,cell phone,192,275,236,332,frame2669.jpg
6,cell phone,369,534,417,568,frame2669.jpg
7,tie,882,507,958,715,frame2669.jpg
9,cell phone,362,335,405,360,frame2669.jpg
12,laptop,262,383,462,534,frame2669.jpg
15,laptop,726,373,858,486,frame2669.jpg
18,laptop,549,378,716,466,frame2669.jpg
19,laptop,586,424,810,700,frame2669.jpg
0,keyboard,263,458,402,528,frame2670.jpg
1,keyboard,638,565,722,672,frame2670.jpg
5,cell phone,370,534,416,567,frame2670.jpg
6,tie,883,508,960,716,frame2670.jpg
8,cell phone,362,336,401,358,frame2670.jpg
11,laptop,262,384,464,535,frame2670.jpg
13,laptop,726,373,860,486,frame2670.jpg
17,laptop,549,379,716,466,frame2670.jpg
18,laptop,586,424,810,700,frame2670.jpg
2,keyboard,270,461,401,525,frame2671.jpg
4,keyboard,636,570,724,674,frame2671.jpg
6,cell phone,370,534,416,568,frame2671.jpg
7,mouse,370,535,416,567,frame2671.jpg
8,cell phone,363,335,400,358,frame2671.jpg
9,tie,882,510,960,716,frame2671.jpg
13,laptop,263,384,463,535,frame2671.jpg
16,laptop,726,373,860,486,frame2671.jpg
18,laptop,548,378,716,466,frame2671.jpg
20,laptop,586,426,810,700,frame2671.jpg
0,keyboard,263,460,402,528,frame2672.jpg
1,keyboard,636,570,724,675,frame2672.jpg
5,mouse,370,536,416,568,frame2672.jpg
6,cell phone,362,336,401,358,frame2672.jpg
7,cell phone,370,534,417,568,frame2672.jpg
8,tie,883,508,960,716,frame2672.jpg
12,laptop,263,384,464,536,frame2672.jpg
15,laptop,727,373,859,486,frame2672.jpg
18,laptop,549,379,717,466,frame2672.jpg
19,laptop,586,426,810,700,frame2672.jpg
0,cell phone,640,336,670,360,frame2673.jpg
2,keyboard,269,461,403,525,frame2673.jpg
4,keyboard,636,570,724,674,frame2673.jpg
6,cell phone,363,335,404,360,frame2673.jpg
7,tie,880,509,958,716,frame2673.jpg
8,cell phone,370,534,416,568,frame2673.jpg
12,laptop,263,385,464,535,frame2673.jpg
15,laptop,726,372,858,486,frame2673.jpg
18,laptop,549,378,716,466,frame2673.jpg
19,laptop,586,425,810,700,frame2673.jpg
0,keyboard,263,459,402,528,frame2674.jpg
1,keyboard,635,568,724,676,frame2674.jpg
3,tie,880,509,960,715,frame2674.jpg
5,cell phone,362,335,405,360,frame2674.jpg
6,cell phone,370,534,417,568,frame2674.jpg
10,laptop,263,386,463,538,frame2674.jpg
14,laptop,727,372,859,486,frame2674.jpg
15,laptop,549,378,717,466,frame2674.jpg
17,laptop,586,424,810,700,frame2674.jpg
0,laptop,324,402,430,457,frame2675.jpg
1,keyboard,264,459,401,528,frame2675.jpg
3,keyboard,637,565,722,672,frame2675.jpg
6,mouse,370,534,417,568,frame2675.jpg
7,tie,880,508,958,716,frame2675.jpg
8,cell phone,362,336,404,360,frame2675.jpg
9,cell phone,370,534,417,568,frame2675.jpg
13,laptop,263,386,463,537,frame2675.jpg
16,laptop,727,373,859,486,frame2675.jpg
19,laptop,549,378,717,466,frame2675.jpg
20,laptop,586,424,810,700,frame2675.jpg
0,keyboard,272,460,402,526,frame2676.jpg
1,cell phone,326,323,363,365,frame2676.jpg
2,keyboard,636,569,724,675,frame2676.jpg
5,cell phone,370,534,416,568,frame2676.jpg
6,tie,882,508,959,716,frame2676.jpg
7,cell phone,363,337,402,361,frame2676.jpg
11,laptop,252,386,466,536,frame2676.jpg
14,laptop,726,372,860,486,frame2676.jpg
16,laptop,549,379,717,466,frame2676.jpg
18,laptop,586,424,810,700,frame2676.jpg
1,keyboard,636,570,724,676,frame2677.jpg
4,tie,880,508,957,716,frame2677.jpg
5,cell phone,363,336,402,359,frame2677.jpg
6,cell phone,370,534,417,568,frame2677.jpg
9,laptop,226,385,463,538,frame2677.jpg
14,laptop,727,373,859,486,frame2677.jpg
16,laptop,549,379,717,466,frame2677.jpg
17,laptop,585,424,811,700,frame2677.jpg
0,keyboard,272,460,401,524,frame2678.jpg
1,keyboard,638,565,722,672,frame2678.jpg
4,cup,254,305,291,358,frame2678.jpg
7,cell phone,370,534,416,568,frame2678.jpg
8,cell phone,364,336,402,359,frame2678.jpg
9,tie,884,508,960,715,frame2678.jpg
13,laptop,263,386,463,537,frame2678.jpg
16,laptop,726,373,860,486,frame2678.jpg
19,laptop,549,378,717,466,frame2678.jpg
20,laptop,585,424,810,700,frame2678.jpg
0,keyboard,636,570,724,676,frame2679.jpg
5,mouse,370,535,416,567,frame2679.jpg
6,cell phone,363,336,402,359,frame2679.jpg
7,cell phone,370,534,417,568,frame2679.jpg
8,tie,881,508,960,716,frame2679.jpg
12,laptop,262,386,463,536,frame2679.jpg
16,laptop,726,373,860,486,frame2679.jpg
18,laptop,549,378,717,466,frame2679.jpg
19,laptop,586,426,810,700,frame2679.jpg
0,keyboard,277,461,399,524,frame2680.jpg
1,keyboard,636,569,724,676,frame2680.jpg
6,mouse,370,535,416,567,frame2680.jpg
7,cell phone,370,534,416,568,frame2680.jpg
8,cell phone,363,336,402,358,frame2680.jpg
9,tie,882,508,958,716,frame2680.jpg
13,laptop,262,385,464,537,frame2680.jpg
18,laptop,727,373,859,486,frame2680.jpg
19,laptop,550,378,716,466,frame2680.jpg
20,laptop,586,425,810,700,frame2680.jpg
0,keyboard,278,460,399,524,frame2681.jpg
1,keyboard,636,569,724,675,frame2681.jpg
5,cell phone,362,336,404,359,frame2681.jpg
6,cell phone,370,534,417,568,frame2681.jpg
8,tie,880,508,960,716,frame2681.jpg
11,laptop,264,385,463,536,frame2681.jpg
15,laptop,727,373,859,485,frame2681.jpg
17,laptop,549,378,717,466,frame2681.jpg
18,laptop,586,425,810,700,frame2681.jpg
0,keyboard,274,460,401,525,frame2682.jpg
2,keyboard,638,565,722,672,frame2682.jpg
4,cell phone,269,314,301,352,frame2682.jpg
7,cell phone,370,534,417,568,frame2682.jpg
8,cell phone,360,338,402,359,frame2682.jpg
9,tie,878,508,960,716,frame2682.jpg
13,laptop,264,384,463,536,frame2682.jpg
17,laptop,727,373,859,485,frame2682.jpg
19,laptop,549,378,717,466,frame2682.jpg
20,laptop,586,425,810,700,frame2682.jpg
0,keyboard,271,460,402,524,frame2683.jpg
3,keyboard,637,565,722,672,frame2683.jpg
6,cell phone,370,534,417,568,frame2683.jpg
8,cell phone,265,298,301,350,frame2683.jpg
9,cell phone,360,337,400,358,frame2683.jpg
11,tie,882,508,957,716,frame2683.jpg
14,laptop,264,384,463,536,frame2683.jpg
19,laptop,726,373,860,485,frame2683.jpg
20,laptop,549,379,717,466,frame2683.jpg
21,laptop,586,425,810,700,frame2683.jpg
0,keyboard,263,459,403,528,frame2684.jpg
2,keyboard,638,565,722,672,frame2684.jpg
5,cell phone,363,337,402,360,frame2684.jpg
6,cell phone,370,534,416,568,frame2684.jpg
8,tie,882,508,960,716,frame2684.jpg
11,laptop,264,386,463,536,frame2684.jpg
16,laptop,727,373,860,485,frame2684.jpg
17,laptop,549,378,717,466,frame2684.jpg
18,laptop,586,424,810,700,frame2684.jpg
0,laptop,324,401,430,458,frame2685.jpg
1,keyboard,637,565,722,672,frame2685.jpg
4,keyboard,263,459,402,528,frame2685.jpg
5,cell phone,370,534,417,568,frame2685.jpg
7,cell phone,363,338,400,359,frame2685.jpg
8,tie,882,508,960,715,frame2685.jpg
12,laptop,258,386,464,534,frame2685.jpg
16,laptop,727,372,860,486,frame2685.jpg
18,laptop,549,378,717,466,frame2685.jpg
19,laptop,586,424,810,700,frame2685.jpg
1,cell phone,272,325,302,367,frame2686.jpg
2,keyboard,637,565,722,672,frame2686.jpg
3,keyboard,262,459,402,528,frame2686.jpg
6,cell phone,370,534,417,568,frame2686.jpg
7,cell phone,364,337,402,360,frame2686.jpg
9,tie,882,509,960,716,frame2686.jpg
12,laptop,264,386,463,537,frame2686.jpg
15,laptop,727,372,859,486,frame2686.jpg
18,laptop,550,379,716,465,frame2686.jpg
19,laptop,586,423,810,700,frame2686.jpg
0,keyboard,262,459,403,528,frame2687.jpg
1,cell phone,273,327,302,366,frame2687.jpg
3,keyboard,636,569,724,675,frame2687.jpg
6,tie,883,508,961,715,frame2687.jpg
7,cell phone,370,534,417,568,frame2687.jpg
8,cell phone,363,338,401,360,frame2687.jpg
12,laptop,263,386,462,536,frame2687.jpg
16,laptop,727,373,859,486,frame2687.jpg
18,laptop,549,379,717,465,frame2687.jpg
20,laptop,586,425,810,700,frame2687.jpg
1,keyboard,638,565,722,672,frame2688.jpg
2,keyboard,262,458,404,528,frame2688.jpg
5,cell phone,370,534,417,568,frame2688.jpg
6,cell phone,364,338,403,360,frame2688.jpg
8,tie,882,508,961,716,frame2688.jpg
11,laptop,264,386,464,536,frame2688.jpg
15,laptop,727,372,859,486,frame2688.jpg
17,laptop,549,379,716,466,frame2688.jpg
19,laptop,586,424,810,700,frame2688.jpg
0,keyboard,638,565,722,672,frame2689.jpg
3,keyboard,262,459,403,528,frame2689.jpg
5,cell phone,365,338,404,360,frame2689.jpg
6,cell phone,370,534,417,568,frame2689.jpg
7,tie,880,508,960,716,frame2689.jpg
11,laptop,263,386,463,536,frame2689.jpg
15,laptop,727,372,859,485,frame2689.jpg
17,laptop,549,379,717,466,frame2689.jpg
18,laptop,586,425,810,700,frame2689.jpg
1,keyboard,262,459,403,528,frame2690.jpg
2,keyboard,638,565,722,672,frame2690.jpg
5,cell phone,365,338,406,362,frame2690.jpg
6,tie,881,509,962,716,frame2690.jpg
7,cell phone,370,534,417,568,frame2690.jpg
11,laptop,263,385,463,536,frame2690.jpg
15,laptop,727,372,859,486,frame2690.jpg
17,laptop,549,379,717,466,frame2690.jpg
18,laptop,586,424,810,700,frame2690.jpg
2,keyboard,638,565,722,672,frame2691.jpg
3,keyboard,261,458,403,528,frame2691.jpg
5,cell phone,364,338,404,361,frame2691.jpg
6,cell phone,370,534,417,568,frame2691.jpg
7,tie,882,508,962,716,frame2691.jpg
11,laptop,262,385,462,536,frame2691.jpg
15,laptop,727,372,859,485,frame2691.jpg
17,laptop,549,378,716,466,frame2691.jpg
18,laptop,586,425,810,700,frame2691.jpg
0,keyboard,273,461,400,525,frame2692.jpg
2,keyboard,637,565,722,672,frame2692.jpg
4,mouse,370,535,417,567,frame2692.jpg
6,cell phone,370,534,417,568,frame2692.jpg
7,cell phone,365,338,405,361,frame2692.jpg
8,tie,878,508,958,716,frame2692.jpg
12,laptop,263,385,463,536,frame2692.jpg
16,laptop,727,372,859,485,frame2692.jpg
18,laptop,549,378,716,466,frame2692.jpg
19,laptop,586,424,810,700,frame2692.jpg
1,keyboard,262,459,404,528,frame2693.jpg
2,keyboard,637,565,722,672,frame2693.jpg
5,cell phone,370,534,417,568,frame2693.jpg
6,cell phone,365,338,404,362,frame2693.jpg
7,tie,880,508,960,716,frame2693.jpg
11,laptop,263,386,462,536,frame2693.jpg
15,laptop,727,372,859,484,frame2693.jpg
17,laptop,549,379,716,466,frame2693.jpg
18,laptop,586,424,810,700,frame2693.jpg
1,keyboard,262,460,402,528,frame2694.jpg
2,keyboard,638,565,722,672,frame2694.jpg
5,mouse,370,535,416,567,frame2694.jpg
6,cell phone,370,534,416,568,frame2694.jpg
7,cell phone,365,338,404,362,frame2694.jpg
8,tie,878,510,960,716,frame2694.jpg
12,laptop,263,386,463,536,frame2694.jpg
17,laptop,727,372,859,484,frame2694.jpg
18,laptop,550,378,716,466,frame2694.jpg
19,laptop,586,424,810,700,frame2694.jpg
1,keyboard,262,460,403,528,frame2695.jpg
2,keyboard,637,565,722,672,frame2695.jpg
5,cell phone,365,340,405,363,frame2695.jpg
6,cell phone,370,534,417,568,frame2695.jpg
7,tie,880,510,961,716,frame2695.jpg
11,laptop,264,386,463,536,frame2695.jpg
16,laptop,728,372,860,484,frame2695.jpg
17,laptop,549,378,717,466,frame2695.jpg
18,laptop,586,424,810,700,frame2695.jpg
0,keyboard,263,459,403,528,frame2696.jpg
2,keyboard,638,565,722,672,frame2696.jpg
5,cell phone,365,339,404,362,frame2696.jpg
6,tie,880,510,962,716,frame2696.jpg
7,cell phone,370,534,416,568,frame2696.jpg
11,laptop,264,386,463,536,frame2696.jpg
15,laptop,728,372,860,486,frame2696.jpg
17,laptop,550,378,716,466,frame2696.jpg
18,laptop,586,425,810,700,frame2696.jpg
1,keyboard,262,459,402,528,frame2697.jpg
4,keyboard,638,564,722,672,frame2697.jpg
6,cell phone,366,338,406,362,frame2697.jpg
7,mouse,370,534,416,568,frame2697.jpg
8,cell phone,370,534,417,568,frame2697.jpg
9,tie,878,509,960,716,frame2697.jpg
13,laptop,262,386,464,537,frame2697.jpg
17,laptop,728,372,860,485,frame2697.jpg
19,laptop,549,378,716,466,frame2697.jpg
21,laptop,586,425,810,700,frame2697.jpg
0,keyboard,638,565,722,672,frame2698.jpg
1,keyboard,262,459,402,528,frame2698.jpg
5,mouse,370,534,416,568,frame2698.jpg
6,cell phone,365,338,405,362,frame2698.jpg
7,cell phone,370,534,417,568,frame2698.jpg
8,tie,878,510,960,716,frame2698.jpg
12,laptop,262,386,463,536,frame2698.jpg
15,laptop,727,372,860,486,frame2698.jpg
18,laptop,549,378,716,466,frame2698.jpg
19,laptop,586,424,810,700,frame2698.jpg
1,keyboard,262,460,402,528,frame2699.jpg
2,keyboard,637,565,722,672,frame2699.jpg
5,cell phone,366,339,404,361,frame2699.jpg
6,cell phone,370,534,416,568,frame2699.jpg
8,tie,879,510,959,716,frame2699.jpg
11,laptop,260,385,463,537,frame2699.jpg
16,laptop,727,372,859,485,frame2699.jpg
17,laptop,550,378,716,466,frame2699.jpg
18,laptop,586,424,810,700,frame2699.jpg
0,keyboard,262,460,402,528,frame2700.jpg
2,keyboard,638,564,722,672,frame2700.jpg
3,cell phone,370,534,417,568,frame2700.jpg
5,cell phone,364,339,404,362,frame2700.jpg
8,tie,882,510,961,716,frame2700.jpg
11,laptop,262,385,463,537,frame2700.jpg
15,laptop,726,372,860,486,frame2700.jpg
17,laptop,549,378,717,467,frame2700.jpg
18,laptop,586,426,810,700,frame2700.jpg
0,keyboard,270,461,402,525,frame2701.jpg
2,keyboard,638,565,722,672,frame2701.jpg
4,cell phone,364,340,402,362,frame2701.jpg
5,cell phone,369,534,417,568,frame2701.jpg
8,tie,880,509,958,716,frame2701.jpg
11,laptop,263,384,463,536,frame2701.jpg
16,laptop,727,372,859,486,frame2701.jpg
17,laptop,549,378,716,466,frame2701.jpg
19,laptop,586,424,810,700,frame2701.jpg
1,keyboard,262,459,405,528,frame2702.jpg
3,keyboard,637,564,722,672,frame2702.jpg
5,cell phone,365,340,402,362,frame2702.jpg
6,cell phone,370,534,417,568,frame2702.jpg
7,tie,882,510,961,716,frame2702.jpg
11,laptop,263,386,463,536,frame2702.jpg
16,laptop,727,372,859,485,frame2702.jpg
17,laptop,549,378,716,466,frame2702.jpg
18,laptop,586,424,810,700,frame2702.jpg
1,keyboard,638,565,722,672,frame2703.jpg
2,keyboard,263,460,402,528,frame2703.jpg
5,cell phone,364,339,404,361,frame2703.jpg
7,cell phone,369,534,417,568,frame2703.jpg
9,tie,880,510,962,716,frame2703.jpg
12,laptop,262,385,463,536,frame2703.jpg
17,laptop,727,372,859,485,frame2703.jpg
18,laptop,549,378,717,466,frame2703.jpg
20,laptop,586,424,810,700,frame2703.jpg
1,keyboard,263,460,401,528,frame2704.jpg
2,keyboard,638,565,722,672,frame2704.jpg
4,cell phone,364,340,402,361,frame2704.jpg
5,cell phone,370,534,416,568,frame2704.jpg
8,tie,880,510,961,716,frame2704.jpg
11,laptop,263,386,463,536,frame2704.jpg
15,laptop,727,372,859,484,frame2704.jpg
17,laptop,550,378,716,466,frame2704.jpg
18,laptop,586,424,810,700,frame2704.jpg
0,keyboard,262,460,403,528,frame2705.jpg
1,keyboard,637,565,722,672,frame2705.jpg
5,mouse,370,534,416,568,frame2705.jpg
6,cell phone,364,339,405,362,frame2705.jpg
7,cell phone,370,534,416,568,frame2705.jpg
8,tie,882,509,962,716,frame2705.jpg
12,laptop,262,385,463,536,frame2705.jpg
16,laptop,727,372,859,484,frame2705.jpg
18,laptop,549,378,716,466,frame2705.jpg
19,laptop,586,424,810,700,frame2705.jpg
1,keyboard,270,462,402,524,frame2706.jpg
2,keyboard,637,566,722,672,frame2706.jpg
4,cell phone,364,340,404,362,frame2706.jpg
5,cell phone,370,534,416,568,frame2706.jpg
6,tie,882,509,960,715,frame2706.jpg
11,laptop,263,386,462,536,frame2706.jpg
16,laptop,727,372,859,485,frame2706.jpg
17,laptop,549,378,717,466,frame2706.jpg
18,laptop,586,424,810,700,frame2706.jpg
1,keyboard,275,460,400,526,frame2707.jpg
2,keyboard,637,564,722,672,frame2707.jpg
4,cell phone,364,340,403,362,frame2707.jpg
6,cell phone,370,534,416,568,frame2707.jpg
7,tie,882,510,961,716,frame2707.jpg
11,laptop,262,386,463,537,frame2707.jpg
16,laptop,727,372,859,485,frame2707.jpg
17,laptop,549,378,716,466,frame2707.jpg
18,laptop,586,424,810,700,frame2707.jpg
0,keyboard,270,461,402,525,frame2708.jpg
1,keyboard,637,564,722,672,frame2708.jpg
4,cell phone,364,340,403,363,frame2708.jpg
6,cell phone,370,534,417,568,frame2708.jpg
7,tie,882,509,958,715,frame2708.jpg
11,laptop,263,386,463,536,frame2708.jpg
16,laptop,727,372,859,485,frame2708.jpg
17,laptop,550,378,716,466,frame2708.jpg
18,laptop,586,424,810,700,frame2708.jpg
1,keyboard,263,460,403,528,frame2709.jpg
2,keyboard,637,564,722,672,frame2709.jpg
6,mouse,370,534,416,568,frame2709.jpg
7,cell phone,365,338,406,362,frame2709.jpg
8,cell phone,370,534,416,568,frame2709.jpg
9,tie,882,510,958,716,frame2709.jpg
13,laptop,263,385,463,536,frame2709.jpg
18,laptop,726,372,858,484,frame2709.jpg
19,laptop,549,378,716,466,frame2709.jpg
20,laptop,585,424,810,700,frame2709.jpg
0,keyboard,262,460,404,528,frame2710.jpg
1,keyboard,636,564,722,672,frame2710.jpg
4,cell phone,364,341,402,362,frame2710.jpg
5,cell phone,370,534,417,568,frame2710.jpg
7,tie,882,510,958,716,frame2710.jpg
11,laptop,263,386,463,536,frame2710.jpg
16,laptop,727,372,859,485,frame2710.jpg
17,laptop,550,378,716,466,frame2710.jpg
18,laptop,586,424,810,700,frame2710.jpg
0,keyboard,262,459,404,528,frame2711.jpg
2,keyboard,637,564,722,672,frame2711.jpg
4,cell phone,364,341,401,363,frame2711.jpg
6,cell phone,370,534,416,568,frame2711.jpg
8,tie,882,510,960,717,frame2711.jpg
11,laptop,263,385,463,536,frame2711.jpg
15,laptop,726,371,858,485,frame2711.jpg
17,laptop,549,378,717,466,frame2711.jpg
18,laptop,586,424,810,700,frame2711.jpg
1,keyboard,263,459,402,528,frame2712.jpg
2,keyboard,637,564,722,672,frame2712.jpg
3,cell phone,370,534,417,568,frame2712.jpg
5,cell phone,363,340,403,361,frame2712.jpg
6,tie,882,510,956,716,frame2712.jpg
10,laptop,262,385,464,536,frame2712.jpg
15,laptop,727,372,858,484,frame2712.jpg
16,laptop,549,378,717,466,frame2712.jpg
17,laptop,586,424,810,700,frame2712.jpg
0,cell phone,615,329,641,352,frame2713.jpg
1,keyboard,262,460,402,528,frame2713.jpg
2,keyboard,637,565,722,672,frame2713.jpg
6,cell phone,364,340,404,362,frame2713.jpg
7,cell phone,370,534,416,568,frame2713.jpg
9,tie,880,510,960,716,frame2713.jpg
12,laptop,262,385,463,537,frame2713.jpg
16,laptop,727,372,858,484,frame2713.jpg
18,laptop,550,378,716,466,frame2713.jpg
